timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801684000,2.68,96.66,0.00,0.00,0.00,0.00,0.00,0.00,0.67
1438801687000,1.67,91.30,0.00,0.00,0.00,0.33,0.00,4.35,2.34
1438801690000,3.03,90.91,0.00,0.00,0.00,0.00,0.00,3.70,2.36
1438801693000,2.35,91.61,0.00,0.00,0.00,0.00,0.00,4.03,2.01
1438801696000,1.70,92.86,0.00,0.00,0.00,0.00,0.00,3.74,1.70
1438801699000,2.04,89.80,0.00,0.00,0.00,0.34,0.00,4.42,3.40
1438801702000,2.05,90.44,0.00,0.00,0.00,0.00,0.00,4.44,3.07
1438801705000,2.73,92.49,0.00,0.00,0.00,0.00,0.00,3.41,1.37
1438801708000,2.03,90.51,0.00,0.00,0.00,0.00,0.00,4.75,2.71
1438801711000,2.71,91.53,0.00,0.00,0.00,0.00,0.00,3.73,2.03
1438801714000,0.67,90.91,0.00,0.00,0.00,0.34,0.00,5.05,3.03
1438801717000,1.68,90.27,0.00,0.00,0.00,0.00,0.00,5.03,3.02
