timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,4.49,94.96,0.00,0.00,0.00,0.00,0.00,0.31,0.23
1438801681000,4.77,94.46,0.00,0.00,0.00,0.00,0.00,0.26,0.51
1438801684000,5.55,93.13,0.01,0.00,0.00,0.01,0.00,0.29,1.01
1438801687000,4.12,81.39,0.00,0.01,0.00,0.70,0.00,9.24,4.55
1438801690000,4.08,81.60,0.01,0.00,0.00,0.75,0.00,8.94,4.63
1438801693000,4.10,81.94,0.00,0.00,0.00,0.67,0.00,8.76,4.53
1438801696000,3.91,82.24,0.00,0.00,0.00,0.66,0.00,8.70,4.49
1438801699000,4.14,81.24,0.00,0.00,0.00,0.67,0.00,9.27,4.68
1438801702000,4.21,81.24,0.00,0.00,0.00,0.68,0.00,9.20,4.67
1438801705000,4.13,81.63,0.01,0.00,0.00,0.70,0.00,9.11,4.42
1438801708000,4.09,81.68,0.00,0.01,0.00,0.68,0.00,8.98,4.57
1438801711000,4.03,81.81,0.00,0.00,0.00,0.68,0.00,8.97,4.52
1438801714000,4.03,81.62,0.00,0.00,0.00,0.68,0.00,9.21,4.46
1438801717000,4.25,81.10,0.00,0.00,0.00,0.73,0.00,9.25,4.67
