Linux 3.10.0-230.el7.x86_64 (perf10.perf.lab.eng.bos.redhat.com) 	08/05/15 	_x86_64_	(40 CPU)

15:07:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:07:58     all    0.23    0.00    0.31    0.00    0.00    0.00    0.00    4.49    0.00   94.96
15:07:58       0    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00   16.72    0.00   83.28
15:07:58       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58       3    0.00    0.00    0.33    0.00    0.00    0.00    0.00   15.67    0.00   84.00
15:07:58       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.02    0.00   93.98
15:07:58       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58       7    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.00   99.33
15:07:58       8    0.66    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:07:58       9    0.00    0.00    0.66    0.00    0.00    0.00    0.00   18.48    0.00   80.86
15:07:58      10    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.72    0.00   84.28
15:07:58      12    0.33    0.00    0.00    0.00    0.00    0.00    0.00   17.00    0.00   82.67
15:07:58      13    0.67    0.00    0.00    0.00    0.00    0.00    0.00   19.33    0.00   80.00
15:07:58      14    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58      15    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58      16    0.33    0.00    0.00    0.00    0.00    0.00    0.00   15.72    0.00   83.95
15:07:58      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      20    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      22    0.33    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.67
15:07:58      23    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
15:07:58      24    1.33    0.00    2.33    0.00    0.00    0.00    0.00    0.00    0.00   96.35
15:07:58      25    0.00    0.00    0.33    0.00    0.00    0.00    0.00    4.00    0.00   95.67
15:07:58      26    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58      27    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:07:58      28    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      30    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:07:58      31    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:07:58      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      34    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:07:58      35    0.00    0.00    0.65    0.00    0.00    0.00    0.00   16.34    0.00   83.01
15:07:58      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:07:58      38    0.33    0.00    0.33    0.00    0.00    0.00    0.00   18.00    0.00   81.33
15:07:58      39    0.00    0.00    0.33    0.00    0.00    0.00    0.00   16.33    0.00   83.33

15:07:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:01     all    0.51    0.00    0.26    0.00    0.00    0.00    0.00    4.77    0.00   94.46
15:08:01       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.33    0.00   99.67
15:08:01       1    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00   98.33
15:08:01       2    0.00    0.00    0.33    0.00    0.00    0.00    0.00   16.33    0.00   83.33
15:08:01       3    0.00    0.00    0.33    0.00    0.00    0.00    0.00   24.08    0.00   75.59
15:08:01       4    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:08:01       5    0.00    0.00    0.67    0.00    0.00    0.00    0.00   31.67    0.00   67.67
15:08:01       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.33    0.00   87.67
15:08:01       7    0.67    0.00    0.00    0.00    0.00    0.00    0.00   16.72    0.00   82.61
15:08:01       8    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:01       9    1.00    0.00    0.33    0.00    0.00    0.00    0.00   15.05    0.00   83.61
15:08:01      10    0.66    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.34
15:08:01      11    7.33    0.00    1.00    0.00    0.00    0.00    0.00    0.33    0.00   91.33
15:08:01      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:08:01      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.67    0.00   99.33
15:08:01      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:08:01      15    0.34    0.00    0.00    0.00    0.00    0.00    0.00   20.47    0.00   79.19
15:08:01      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.67    0.00   99.33
15:08:01      17    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.00   99.34
15:08:01      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00    0.00   95.00
15:08:01      19    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.33    0.00   99.33
