timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39
1438801678000,0.33,16.72,0,15.66,0,5.69,0,0.66,0.99,19.14,0.33,15.72,17.33,20.07,0.33,0.66,16,0,0,0,0.33,0,3.33,1.33,3.66,4.34,0.67,1,0.33,0.34,1.35,0.34,0,0.33,1.33,16.99,0,0.66,18.66,16.72
1438801681000,0.33,1.67,16.61,24.74,0.33,32.67,12.33,17.39,1,16.05,0.67,8.66,0,0.67,0,20.73,0.67,0.66,5.02,0.66,0,0,3.01,17.39,0,8.36,0,1.66,0.33,0.33,0.66,0,0,0.33,0.33,0.99,0.33,12,0.33,16
1438801684000,12.71,4.72,1.34,21.74,1,17.73,1,4.71,1.67,20.66,3.35,20.4,2.33,19.33,1,21.15,3.01,4.67,5.33,35.45,1.33,1,4,6.01,1.33,3.33,0.99,6.68,1,3.66,1.33,3.33,0.67,3.35,0.67,3.97,1.33,7.33,20.81,1
1438801687000,18.28,39.56,16.61,38.92,17.47,40.56,17.75,39,66.92,39.92,29.66,39.79,23.45,38.36,20.48,40.63,18.83,40.21,18.49,39.79,6.37,8.08,3.7,7.11,2,8.34,2.67,8.82,1.99,6.78,3.7,7.14,6.02,8.73,2.34,6.78,5.07,7.78,2.34,7.75
1438801690000,17.01,39.85,14.73,40.56,16.15,41.04,16.66,39.79,67.65,40.85,31.54,40.63,23.64,39.57,19.37,41.17,18.15,41.54,16.89,39.64,2.67,6.83,3,7.79,2,7.79,1.68,8.47,0.67,7.82,1.66,7.77,2.34,9.06,1.33,9.69,2.35,8.73,4.02,7.79
1438801693000,15.73,40.63,16.09,41.4,16.66,40.21,17.13,41.26,69.41,40.72,29.3,41.07,21.46,41.34,18.28,40.98,16.84,39.35,16.72,40.84,1.01,8.1,1.33,8.08,1.35,7.77,1.67,8.44,1.68,8.08,1.01,7.74,1.68,8.08,3.34,6.15,1,7.43,2,7.48
1438801696000,14.82,40.72,13.79,40.57,14.67,40.99,14.14,40.28,65,42.1,26.74,42.76,20.28,40.08,15.62,41.96,14.88,41.14,14.77,41.96,1.33,8.08,3.03,8.11,0.68,9.02,2.67,8.78,0.67,7.79,1.67,8.13,1.01,7.45,1,8.39,5.7,7.45,1.01,8.39
1438801699000,11.76,45.04,12.88,44.87,12.24,45.55,11.33,44.87,59.7,45.61,24.74,45.62,16.94,45.81,14.48,44.65,12.88,45.81,13.23,45.58,2.67,10.5,1.33,9.65,1.66,9.86,1.01,11.22,0.67,10.16,0.66,11.45,0.99,9.92,1.67,11.45,4.71,9.93,4.03,10.81
1438801702000,13.05,44.13,12.07,45.61,14.19,43.73,13.26,44.32,61.56,44.48,25.51,44.68,17.41,45.46,15.82,45.46,13.05,44.12,12.97,44.09,1.67,10.82,1,10.47,1.01,10.24,1.33,11.9,2.02,10.2,1,9.56,1,9.86,1.33,9.9,5.37,10.16,2.66,11.07
1438801705000,16.27,40.64,15.45,40.28,14.94,40.63,15.87,39.64,70.68,40.69,30.59,39.65,23.55,40.34,19.87,39.28,16.9,39.64,16.2,41.67,5.75,7.45,1.68,8.44,2.34,7.45,4.03,9.4,1.33,8.78,1.69,8.11,2.35,7.48,2,8.38,5.33,7.14,1.69,8.44
1438801708000,14.72,41.84,13.39,42.51,14.68,41.49,13.36,41.49,65.31,41.21,26.79,42.25,18.96,41.9,16.09,42.05,14.09,43.26,14.62,41.07,3.34,9.15,1.33,8.5,1,10.47,3.71,10.2,0.33,9.76,2,8.84,2,9.49,2.36,9.45,3.32,8.45,2.69,10.13
1438801711000,15.52,41.22,15.12,40.86,17.07,40.85,16.32,40.01,67.17,41.34,29.01,41.22,22.44,41.07,17.87,40.58,17,41.69,15.47,42.6,1.66,8.73,1.33,7.82,2,8.48,2.34,9.82,1,8.5,0.66,8.41,2.35,8.5,1,9.08,1.68,8.5,1.66,8.48
1438801714000,16.44,42.66,15.07,42.66,14.13,41.07,15.36,41.14,65.54,41.49,27.74,42.1,19.59,42.1,17.68,43.4,16.44,41.34,15.02,41.7,1.35,8.5,3.36,9.42,1.01,8.78,3.34,9.45,0.66,8.76,1,8.5,2.69,9.06,2.02,8.19,2.34,8.81,2.36,8.81
1438801717000,16.9,42.66,16.04,41.58,16.32,41.48,15.98,41.34,68.78,41.84,30.14,42.66,22.52,42.1,18.33,42.45,18.98,41.69,14.92,41.14,2.01,8.81,1.66,8.45,2.7,8.13,2,9.82,4.72,9.15,1.66,8.5,4.03,9.73,1.33,8.5,1.01,9.12,1.66,9.1
