timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39
1438801678000,3300.00,3300.00,3300.00,3299.88,3300.23,3299.88,3299.88,3300.00,3300.00,3300.00,3299.88,3300.00,3300.00,3299.88,3299.88,3299.88,3299.88,3299.88,3300.11,3300.00,3299.88,3299.88,3300.00,3299.88,3299.88,3300.00,3300.00,3299.64,3300.00,3299.88,3299.88,3299.88,3299.88,3300.00,3300.00,3300.00,3299.88,3299.88,3299.88,3299.88
1438801681000,3299.88,3300.00,3300.00,3299.88,3300.00,3300.00,3300.00,3299.88,3300.00,3299.88,3300.00,3300.00,3300.00,3299.88,3299.88,3300.00,3299.88,3300.00,3300.00,3299.88,3300.00,3299.88,3299.88,3300.00,3299.88,3300.00,3300.00,3300.00,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3300.00,3299.88,3300.00,3299.88,3300.00
1438801684000,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3299.88,3300.00,3300.00,3300.00,3299.88,3300.00,3300.00,3300.00,3300.00,3299.88,3299.88,3300.00,3299.88,3299.88,3300.00,3300.00,3300.00,3300.00,3299.88,3299.88,3300.00,3300.00,3300.00,3300.00,3299.88,3300.00,3299.88
1438801687000,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.76,3300.00,3300.00,3300.00,3299.88,3299.88,3299.88,3300.00,3299.88,3300.00,3299.88,3299.88,3300.23,3299.88,3299.53,3299.88
1438801690000,3299.88,3299.88,3299.76,3299.88,3300.00,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.76,3300.00,3299.88,3300.00,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3299.76,3299.88,3299.76,3299.88,3299.88,3299.88,3299.88,3299.88
1438801693000,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.76,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3300.00,3300.00,3299.88,3299.88,3300.00,3300.00,3299.88,3300.00,3300.00,3299.88,3299.88,3299.88,3300.00,3300.00,3299.88
1438801696000,3299.76,3299.88,3299.76,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3300.00,3299.88,3299.88,3299.76,3300.00,3299.88,3300.00,3300.00,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.76,3299.88,3299.88,3299.88
1438801699000,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3300.00,3300.00,3299.64,3299.88,3299.88,3299.88,3300.00,3300.11,3299.76,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88
1438801702000,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3299.88,3299.76,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88
1438801705000,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3299.76,3300.00,3299.88,3299.88,3300.00,3299.88,3299.88,3300.00,3299.88,3299.88,3299.88,3299.88,3299.88,3299.88,3300.00,3299.88,3299.88,3300.00,3299.88
