timestamp_ms,commit_pct,hugeused_pct,kbactive,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbmemfree,kbmemused,kbswpcad,kbswpfree,kbswpused,memused_pct,swpcad_pct,swpused_pct
1438801678000,19.98,0.00,24095864,42880,179951028,53577792,36468,16777216,0,179165376,36361664,227566748,1336,4187556,6744,86.22,19.81,0.16
1438801681000,20.00,0.00,24086512,42880,179951308,53630676,36808,16777216,0,179165384,36321496,227606916,1336,4187556,6744,86.24,19.81,0.16
1438801684000,19.96,0.00,24139768,42880,179968124,53516088,316,16777216,0,179181520,36313992,227614420,1336,4187556,6744,86.24,19.81,0.16
1438801687000,20.49,0.00,24204824,42880,179968328,54933424,2192,16777216,0,179181860,36253356,227675056,1336,4187556,6744,86.26,19.81,0.16
1438801690000,20.52,0.00,24207376,42880,179968580,55015972,3092,16777216,0,179181860,36252436,227675976,1336,4187556,6744,86.26,19.81,0.16
1438801693000,20.60,0.00,24212608,42880,179968832,55228628,3388,16777216,0,179181868,36248584,227679828,1336,4187556,6744,86.27,19.81,0.16
1438801696000,20.61,0.00,24214828,42880,179969088,55270196,3732,16777216,0,179181876,36247404,227681008,1336,4187556,6744,86.27,19.81,0.16
1438801699000,20.63,0.00,24216592,42880,179969344,55310956,4196,16777216,0,179181880,36246464,227681948,1336,4187556,6744,86.27,19.81,0.16
1438801702000,20.65,0.00,24221340,42880,179969600,55377112,4392,16777216,0,179181892,36242092,227686320,1336,4187556,6744,86.27,19.81,0.16
1438801705000,20.68,0.00,24199336,42880,179969852,55459508,32,16777216,0,179181908,36238436,227689976,1336,4187556,6744,86.27,19.81,0.16
1438801708000,20.74,0.00,24230408,42880,179970112,55598476,1912,16777216,0,179181928,36233724,227694688,1336,4187556,6744,86.27,19.81,0.16
1438801711000,20.75,0.00,24230624,42880,179970360,55638640,6004,16777216,0,179181944,36232276,227696136,1336,4187556,6744,86.27,19.81,0.16
1438801714000,20.77,0.00,24232704,42880,179970616,55680836,820,16777216,0,179181968,36230184,227698228,1336,4187556,6744,86.27,19.81,0.16
1438801717000,20.78,0.00,24225056,42880,179970880,55704680,3708,16777216,0,179181988,36227580,227700832,1336,4187556,6744,86.27,19.81,0.16
