timestamp_ms,em1-rx,em1-tx,em2-rx,em2-tx,em3-rx,em3-tx,em4-rx,em4-tx,lo-rx,lo-tx,virbr0-nic-rx,virbr0-nic-tx,virbr0-rx,virbr0-tx,vnet0-rx,vnet0-tx,vnet1-rx,vnet1-tx,vnet10-rx,vnet10-tx,vnet11-rx,vnet11-tx,vnet12-rx,vnet12-tx,vnet13-rx,vnet13-tx,vnet14-rx,vnet14-tx,vnet15-rx,vnet15-tx,vnet2-rx,vnet2-tx,vnet3-rx,vnet3-tx,vnet4-rx,vnet4-tx,vnet5-rx,vnet5-tx,vnet6-rx,vnet6-tx,vnet7-rx,vnet7-tx,vnet8-rx,vnet8-tx,vnet9-rx,vnet9-tx
1438801678000,0.00360448,0,0,0,0,0,0,0,0,0,0,0,0.05480448,0.07503872,0,0.00024576,0,0.00024576,0,0.00024576,0,0.00024576,0,0.00024576,0,0.00024576,0,0.00024576,0,0.00024576,0,0.00024576,0.00483328,0.00704512,0.01114112,0.01409024,0.01114112,0.01409024,0.01114112,0.01409024,0.01114112,0.01409024,0.01007616,0.0131072,0,0.00024576
1438801681000,0.00385024,0,0,0,0,0,0,0,0.00057344,0.00057344,0,0,0.05849088,0.07733248,0,0.00016384,0,0.00016384,0.01114112,0.01400832,0.01114112,0.01400832,0.01130496,0.01400832,0.01114112,0.01400832,0.00622592,0.00720896,0,0.00016384,0,0.00016384,0,0.00016384,0,0.00016384,0,0.00016384,0,0.00016384,0,0.00016384,0.00106496,0.00114688,0.01114112,0.01400832
1438801684000,0.00507904,0,0,0,0,0,0,0,0,0,0,0,0.07405568,0.1130496,0.01335296,0.01728512,0.01335296,0.01728512,0.00221184,0.00344064,0.002048,0.00344064,0.00221184,0.00344064,0.00221184,0.00344064,0.00704512,0.01024,0.01335296,0.01728512,0.0131072,0.01728512,0.002048,0.00344064,0.002048,0.00344064,0.002048,0.00344064,0.002048,0.00344064,0.002048,0.00344064,0.00188416,0.00344064,0.00221184,0.00344064
1438801687000,0.0049152,0.00024576,0,0,0,0,0,0,0,0,0,0,0.02596864,0.02023424,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00196608,0.0016384,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264
1438801690000,0.00442368,0,0,0,0,0,0,0,0,0,0,0,0.02572288,0.01998848,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648
1438801693000,0.00647168,0.00016384,0,0,0,0,0,0,0.00057344,0.00057344,0,0,0.03432448,0.026624,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224,0.00229376,0.00180224
1438801696000,0.004096,0,0,0,0,0,0,0,0,0,0,0,0.02572288,0.01998848,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648,0.00172032,0.00155648
1438801699000,0.00811008,0,0,0,0,0,0,0,0,0,0,0,0.02572288,0.01998848,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264
1438801702000,0.00638976,0,0,0,0,0,0,0,0.00057344,0.00057344,0,0,0.03432448,0.026624,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608,0.00229376,0.00196608
1438801705000,0.00393216,0,0,0,0,0,0,0,0,0,0,0,0.02572288,0.01998848,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264,0.00172032,0.00139264
