timestamp_ms,em1-rx,em1-tx,em2-rx,em2-tx,em3-rx,em3-tx,em4-rx,em4-tx,lo-rx,lo-tx,virbr0-nic-rx,virbr0-nic-tx,virbr0-rx,virbr0-tx,vnet0-rx,vnet0-tx,vnet1-rx,vnet1-tx,vnet10-rx,vnet10-tx,vnet11-rx,vnet11-tx,vnet12-rx,vnet12-tx,vnet13-rx,vnet13-tx,vnet14-rx,vnet14-tx,vnet15-rx,vnet15-tx,vnet2-rx,vnet2-tx,vnet3-rx,vnet3-tx,vnet4-rx,vnet4-tx,vnet5-rx,vnet5-tx,vnet6-rx,vnet6-tx,vnet7-rx,vnet7-tx,vnet8-rx,vnet8-tx,vnet9-rx,vnet9-tx
1438801678000,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.67,37.67,0.00,0.67,0.00,0.67,0.00,0.67,0.00,0.67,0.00,0.67,0.00,0.67,0.00,0.67,0.00,0.67,0.00,0.67,5.33,4.67,7.33,7.67,7.33,7.67,7.33,7.67,7.33,7.67,6.00,6.33,0.00,0.67
1438801681000,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,1.33,0.00,0.00,40.33,39.33,0.00,0.33,0.00,0.33,7.33,7.33,7.33,7.33,7.67,7.33,7.33,7.33,2.00,3.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,1.33,1.67,7.33,7.33
1438801684000,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.67,85.33,10.33,11.00,10.33,11.00,3.00,4.00,2.67,4.00,3.00,4.00,3.00,4.00,8.33,8.00,10.33,11.00,10.00,11.00,2.67,4.00,2.67,4.00,2.67,4.00,2.67,4.00,2.67,4.00,2.33,4.00,3.00,4.00
1438801687000,7.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.33,32.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.33,2.67,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33
1438801690000,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,32.00,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67
1438801693000,8.67,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.33,1.33,0.00,0.00,21.33,42.67,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00
1438801696000,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,32.00,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67
1438801699000,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,32.00,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33
1438801702000,7.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,1.33,0.00,0.00,21.33,42.67,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33,1.33,3.33
1438801705000,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,32.00,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33
1438801708000,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,32.00,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67
1438801711000,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.00,0.00,21.33,42.67,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00,1.33,3.00
1438801714000,7.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.00,0.00,16.00,32.00,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67,1.00,2.67
1438801717000,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,32.00,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33,1.00,2.33
