timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1438801678000,0.00,42.00,0.00,37.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00
1438801681000,0.00,43.00,0.00,40.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00
1438801684000,0.00,80.00,0.00,85.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00
1438801687000,0.00,17.33,0.00,32.67,0.00,0.00,0.67,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00
1438801690000,0.00,17.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00
1438801693000,0.00,24.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00
1438801696000,0.00,17.33,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.33,0.00,0.00,0.00,0.00
1438801699000,0.00,17.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00
1438801702000,0.00,24.33,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.33,0.00,0.00,0.00,0.00
1438801705000,0.00,17.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00
1438801708000,0.00,17.33,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.33,0.00,0.00,0.00,0.00
1438801711000,0.00,23.67,0.00,43.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.67,0.00,0.00,0.00,0.00
1438801714000,0.00,17.00,0.00,32.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00
1438801717000,0.00,17.33,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.33,0.00,0.00,0.00,0.00
