timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1438801678000,0,15,182,607,11
1438801681000,0,15,188,607,11
1438801684000,0,30,193,622,11
1438801687000,0,30,193,622,11
1438801690000,0,30,193,622,11
1438801693000,0,30,193,622,11
1438801696000,0,30,193,622,11
1438801699000,0,30,193,622,11
1438801702000,0,30,189,622,11
1438801705000,0,30,189,622,11
1438801708000,0,30,183,622,11
1438801711000,0,30,183,622,11
1438801714000,0,30,183,622,11
1438801717000,0,30,160,622,11
