timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1438801678000,1.67,0.00,38.67,0.00,0.00,0.00,0.00,0.00,35.67
1438801681000,2.67,0.00,40.00,0.67,0.00,0.00,0.00,0.00,39.00
1438801684000,6.67,0.00,78.00,0.00,0.00,0.00,0.00,0.00,83.67
1438801687000,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,32.00
1438801690000,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,32.00
1438801693000,0.67,0.00,22.67,0.67,0.00,0.00,0.00,0.00,44.00
1438801696000,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,32.00
1438801699000,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,32.00
1438801702000,0.67,0.00,22.67,0.67,0.00,0.00,0.00,0.00,44.00
1438801705000,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,32.00
1438801708000,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,32.00
1438801711000,0.33,0.00,22.00,0.33,0.00,0.00,0.00,0.00,43.33
1438801714000,0.33,0.00,16.67,0.33,0.00,0.00,0.00,0.00,32.67
1438801717000,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,32.00
