timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1438801678000,0.00,0.00,3.33,2.00
1438801681000,0.00,0.00,3.00,1.67
1438801684000,0.00,0.00,2.00,1.67
1438801687000,0.00,0.00,1.33,0.00
1438801690000,0.00,0.00,1.00,0.00
1438801693000,0.00,0.00,1.33,0.00
1438801696000,0.00,0.00,1.33,0.00
1438801699000,0.00,0.00,1.00,0.00
1438801702000,0.00,0.00,1.67,0.00
1438801705000,0.00,0.00,1.00,0.00
1438801708000,0.00,0.00,1.33,0.00
1438801711000,0.00,0.00,1.67,0.00
1438801714000,0.00,0.00,0.33,0.00
1438801717000,0.00,0.00,1.33,0.00
