timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1438801681000,0.00,0.00,98.34,0.00,0.00,0.00,0.00,0.00,1.33,0.33
1438801684000,0.00,2.34,93.31,0.00,0.00,0.00,0.33,0.00,3.01,1.00
1438801687000,0.00,1.02,91.19,0.00,0.00,0.00,0.34,0.00,4.75,2.71
1438801690000,0.00,1.69,91.53,0.00,0.00,0.00,0.00,0.00,4.75,2.03
1438801693000,0.00,1.01,91.55,0.00,0.00,0.00,0.00,0.00,5.07,2.36
1438801696000,0.00,1.35,91.22,0.00,0.00,0.00,0.00,0.00,4.39,3.04
1438801699000,0.00,2.04,88.78,0.00,0.00,0.00,0.00,0.00,5.44,3.74
1438801702000,0.00,2.72,88.10,0.00,0.00,0.00,0.34,0.00,5.78,3.06
1438801705000,0.00,1.68,90.60,0.00,0.00,0.00,0.00,0.00,5.37,2.35
1438801708000,0.00,1.70,89.80,0.00,0.00,0.00,0.00,0.00,5.44,3.06
1438801711000,0.00,2.03,90.17,0.00,0.00,0.00,0.00,0.00,5.42,2.37
1438801714000,0.00,2.36,90.54,0.00,0.00,0.00,0.00,0.00,4.39,2.70
1438801717000,0.00,2.71,90.17,0.00,0.00,0.00,0.00,0.00,5.08,2.03
